App Store Pricing Matrix
 	U.S. - US$	Canada - CAD	Mexico - MXN	Australia - AUD	New Zealand - NZD	Japan - JPY	Europe - Euro	Switzerland - CHF	Norway - NOK	U.K. - GBP	Denmark - DKK	Sweden - SEK	China - CNY	Singapore - SGD	Hong Kong - HKD	Taiwan - TWD	Russia - RUB	Turkey - TRY	India - INR	Indonesia - IDR	Israel - ILS	South Africa - ZAR	Saudi Arabia - SAR	UAE - AED
Tier	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds
Tier 48	47.99	33.60	47.99	33.60	619.00	433.30	49.99	31.81	59.99	41.99	4100	2870	42.99	26.17	47.00	30.46	336.00	188.16	33.99	20.69	319.00	194.17	359.00	218.52	308	215.60	61.98	43.39	378.00	264.60	1440	1008	1549	1084.30	86.99	60.89	2600	1820	459000	321300	191.90	134.33	389.99	272.99	174.99	122.49	174.99	122.49
Tier 49	48.99	34.30	48.99	34.30	639.00	447.30	50.99	32.45	60.99	42.69	4200	2940	43.99	26.78	47.50	30.79	343.00	192.08	34.49	20.99	325.00	197.83	369.00	224.61	318	222.60	62.98	44.09	388.00	271.60	1470	1029	1590	1113	88.99	62.29	2650	1855	469000	328300	195.90	137.13	394.99	276.49	179.99	125.99	179.99	125.99
Tier 50	49.99	35.00	49.99	35.00	649.00	454.30	51.99	33.08	64.99	45.49	4300	3010	44.99	27.39	48.00	31.11	349.00	195.44	34.99	21.30	329.00	200.26	379.00	230.70	328	229.60	64.98	45.49	398.00	278.60	1490	1043	1690	1183	89.99	62.99	2700	1890	479000	335300	199.90	139.93	399.99	279.99	184.99	129.49	184.99	129.49
Tier 51	54.99	38.50	54.99	38.50	699.00	489.30	59.99	38.18	74.99	52.49	4800	3360	49.99	30.43	55.00	35.65	385.00	215.60	37.99	23.12	379.00	230.70	399.00	242.87	348	243.60	68.98	48.29	418.00	292.60	1590	1113	1790	1253	99.99	69.99	2900	2030	499000	349300	219.90	153.93	449.99	314.99	199.99	139.99	199.99	139.99
Tier 52	59.99	42.00	59.99	42.00	799.00	559.30	64.99	41.36	79.99	55.99	5200	3640	54.99	33.47	60.00	38.89	420.00	235.20	39.99	24.34	399.00	242.87	419.00	255.04	388	271.60	74.98	52.49	448.00	313.60	1790	1253	1990	1393	109.99	76.99	3200	2240	549000	384300	239.90	167.93	499.99	349.99	219.99	153.99	219.99	153.99
Tier 53	64.99	45.50	64.99	45.50	849.00	594.30	69.99	44.54	84.99	59.49	5700	3990	59.99	36.52	65.00	42.13	455.00	254.80	44.99	27.39	429.00	261.13	469.00	285.48	418	292.60	78.98	55.29	488.00	341.60	1990	1393	2090	1463	119.99	83.99	3500	2450	599000	419300	259.90	181.93	549.99	384.99	229.99	160.99	229.99	160.99
Tier 54	69.99	49.00	69.99	49.00	899.00	629.30	74.99	47.72	94.99	66.49	6100	4270	62.99	38.34	70.00	45.37	490.00	274.40	47.99	29.21	449.00	273.30	519.00	315.91	448	313.60	88.98	62.29	548.00	383.60	2090	1463	2290	1603	129.99	90.99	3900	2730	649000	454300	279.90	195.93	579.99	405.99	249.99	174.99	249.99	174.99
Tier 55	74.99	52.50	74.99	52.50	999.00	699.30	79.99	50.90	99.99	69.99	6500	4550	64.99	39.56	75.00	48.61	525.00	294.00	49.99	30.43	499.00	303.74	569.00	346.35	488	341.60	94.98	66.49	588.00	411.60	2190	1533	2490	1743	139.99	97.99	4200	2940	699000	489300	299.90	209.93	599.99	419.99	279.99	195.99	279.99	195.99
Tier 56	79.99	56.00	79.99	56.00	1049.00	734.30	84.99	54.08	104.99	73.49	6900	4830	69.99	42.60	80.00	51.85	560.00	313.60	54.99	33.47	529.00	322.00	599.00	364.61	518	362.60	98.98	69.29	618.00	432.60	2390	1673	2690	1883	144.99	101.49	4500	3150	749000	524300	319.90	223.93	649.99	454.99	299.99	209.99	299.99	209.99
Tier 57	84.99	59.50	84.99	59.50	1099.00	769.30	89.99	57.27	109.99	76.99	7400	5180	74.99	45.65	85.00	55.09	595.00	333.20	57.99	35.30	549.00	334.17	619.00	376.78	548	383.60	104.98	73.49	648.00	453.60	2490	1743	2790	1953	149.99	104.99	4700	3290	799000	559300	339.90	237.93	699.99	489.99	319.99	223.99	319.99	223.99
Tier 58	89.99	63.00	89.99	63.00	1199.00	839.30	94.99	60.45	114.99	80.49	7800	5460	79.99	48.69	90.00	58.33	630.00	352.80	59.99	36.52	599.00	364.61	659.00	401.13	588	411.60	108.98	76.29	688.00	481.60	2690	1883	2990	2093	159.99	111.99	4900	3430	849000	594300	359.90	251.93	749.99	524.99	329.99	230.99	329.99	230.99
